iter	Passed	Remaining
455	952	2180
456	953	2176
457	955	2174
458	957	2172
459	960	2170
460	962	2168
461	964	2166
462	966	2164
463	968	2163
464	971	2161
465	973	2159
466	975	2157
467	977	2155
468	979	2153
469	981	2151
470	984	2149
471	986	2148
472	988	2146
473	990	2144
474	992	2142
475	995	2140
476	997	2138
477	999	2136
478	1001	2134
479	1003	2132
480	1005	2130
481	1008	2129
482	1010	2127
483	1012	2125
484	1014	2123
485	1016	2121
486	1018	2119
487	1020	2117
488	1021	2112
489	1024	2110
490	1026	2108
491	1028	2106
492	1030	2105
493	1032	2103
494	1034	2101
495	1037	2099
496	1038	2095
497	1040	2093
498	1042	2091
499	1044	2089
500	1046	2087
501	1049	2085
502	1051	2083
503	1053	2081
504	1055	2079
505	1057	2077
506	1059	2075
507	1062	2074
508	1064	2072
509	1066	2070
510	1068	2068
511	1071	2066
512	1073	2065
513	1075	2063
514	1078	2061
515	1080	2059
516	1082	2058
517	1084	2056
518	1086	2054
519	1089	2052
520	1090	2049
521	1092	2047
522	1095	2045
523	1097	2043
524	1099	2041
525	1101	2040
526	1103	2038
527	1106	2036
528	1108	2034
529	1110	2032
530	1112	2030
531	1114	2028
532	1117	2026
533	1119	2024
534	1121	2022
535	1123	2021
536	1126	2019
537	1128	2017
538	1130	2015
539	1132	2013
540	1134	2011
541	1137	2010
542	1139	2008
543	1141	2006
544	1143	2004
545	1145	2002
546	1148	2000
547	1150	1998
548	1152	1996
549	1154	1994
550	1156	1992
551	1159	1990
552	1161	1988
553	1163	1986
554	1165	1984
555	1167	1983
556	1169	1980
557	1171	1978
558	1174	1976
559	1176	1974
560	1178	1972
561	1180	1970
562	1182	1968
563	1185	1966
564	1187	1964
565	1189	1962
566	1191	1960
567	1193	1958
568	1196	1957
569	1198	1955
570	1200	1953
571	1202	1951
572	1205	1949
573	1207	1947
574	1209	1945
575	1211	1943
576	1213	1941
577	1216	1940
578	1218	1938
579	1220	1936
580	1222	1934
581	1225	1932
582	1227	1930
583	1229	1928
584	1231	1926
585	1233	1924
586	1236	1922
587	1238	1920
588	1240	1918
589	1242	1916
590	1244	1914
591	1247	1912
592	1249	1910
593	1251	1908
594	1253	1906
595	1254	1903
596	1257	1901
597	1259	1899
598	1261	1897
599	1263	1895
600	1265	1893
601	1268	1891
602	1270	1889
603	1272	1887
604	1274	1885
605	1276	1883
606	1279	1881
607	1281	1879
608	1283	1877
609	1285	1875
